Frequency (Hz)	Real (Ohm)	Imaginary (Ohm)	Mag, |Z| (Ohm)	Phase (Angle)
1000.001770	397.952667	102.883385	411.036879	14.495388
1148.151978	410.129517	993.517517	1074.841047	67.568895
1318.258057	-2333.194336	1086.559448	2573.792386	155.028789
1513.562134	-267.881165	-610.994873	667.139456	-113.674298
1737.801392	210.730423	-1176.469971	1195.194086	-79.844819
1995.259644	11.607137	173.908737	174.295653	86.181589
2290.867187	609.999390	2213.004883	2295.536945	74.589501
2630.270264	336.113251	794.737915	862.890764	67.075361
3019.953125	75.693359	-50.240360	90.849207	-33.573637
3467.366455	-836.309021	-655.440491	1062.551183	-141.913135
3981.072266	136.786118	-229.204926	266.918227	-59.171871
4570.884766	1087.728394	1308.510864	1701.573901	50.264203
5248.072754	370.857239	-2037.197266	2070.678099	-79.682692
6025.593262	-10830.957031	-6905.475586	12845.046644	-147.479704
6918.312500	-318.292755	-279.496277	423.589951	-138.713286
7943.279297	-1276.708496	1997.945557	2371.027421	122.579011
9120.110352	33.353455	-76.486183	83.442131	-66.439350
10471.279297	-9.619609	-581.913330	581.992836	-90.947070
12022.652344	7011.029297	-6129.323730	9312.526037	-41.161260
13803.830078	-345.895264	150.183273	377.092229	156.530135
15848.921875	66.606560	175.587906	187.796556	69.226533
18197.019531	-2383.318359	-415.140747	2419.204051	-170.119012
20892.964844	66.343781	-94.909851	115.798865	-55.045724
23988.332031	83.272377	36.332924	90.853564	23.572329
27542.281250	24.342325	256.647156	257.798975	84.581851
31622.779297	-184.569305	151.100586	238.531372	140.693985
36307.796875	43.877777	-789.328552	790.547167	-86.818275
41686.929687	200.436417	573.657715	607.665970	70.740549
47862.996094	59.016781	-63.241203	86.501042	-46.978974
54954.085937	-2499.890381	343.925903	2523.437525	172.166628
63095.730469	-121.691154	83.754890	147.728192	145.462003
72443.578125	-148.578735	-605.822571	623.776104	-103.779880
83176.375000	92.741005	-522.299377	530.469164	-79.931335
95499.257812	-149.159180	-1339.075073	1347.356862	-96.355959
109647.867187	-226.329025	-58.441338	233.752471	-165.521673
125892.578125	829.047485	-625.569153	1038.583891	-37.036880
144543.937500	3198.878174	-3669.565918	4868.114173	-48.920294
165958.656250	724.401611	974.394897	1214.167662	53.371507
190546.046875	-1108.377197	-1132.667114	1584.750707	-134.379015
218776.171875	57.428440	-95.806366	111.699980	-59.060602
251188.656250	-64.078331	-1.338635	64.092312	-178.803231
288403.125000	-32.228325	-16.236732	36.087344	-153.260889
331131.062500	11.216810	-29.642223	31.693505	-69.273031
380189.406250	-9.514074	-48.522568	49.446508	-101.093547
436515.781250	141.760452	53.627125	151.564819	20.721328
501187.187500	34.476398	10.230700	35.962331	16.527993
575439.875000	61.104698	36.939362	71.402385	31.154041
660693.437500	-18.607298	-18.258965	26.069548	-135.541347
758577.375000	-18.583939	-61.326370	64.080313	-106.858561
870963.437500	-14.389179	-22.132030	26.398395	-123.029981
999999.812500	-1.226095	-13.250897	13.307501	-95.286481
